
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
E8:94:F6:29:D5:4C, 2015-08-25 14:29:11, 2015-08-25 15:18:08,  1,  54, WPA2, CCMP,PSK, -83,        1,        0,   0.  0.  0.  0,   6, LABAUT, 
30:91:8F:3C:E8:05, 2015-08-25 14:09:55, 2015-08-25 14:09:55, -1,  -1,     ,       ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:0B:86:CE:11:40, 2015-08-25 14:12:22, 2015-08-25 15:29:30, 158,  -1,     ,       ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
64:66:B3:95:5F:7C, 2015-08-25 14:28:57, 2015-08-25 15:31:31, 108,  -1, WPA ,       ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
00:0B:86:C3:05:C3, 2015-08-25 13:27:47, 2015-08-25 15:34:50, 11,  54, OPN ,       ,   , -77,     4710,        6, 192.168.140.  2,  13, guest-eduroam, 
00:0B:86:C3:05:C2, 2015-08-25 13:27:47, 2015-08-25 15:34:50, 11,  54, WPA2, CCMP, MGT, -74,     4832,     1885,   0.  0.  0.  0,   7, eduroam, 
00:04:E2:C9:C3:82, 2015-08-25 13:27:47, 2015-08-25 15:34:50, 11,  54, WPA , TKIP,PSK, -78,     4429,     1841,   0.  0.  0.  0,   9, D.Maria 2, 
00:0B:86:CF:D2:83, 2015-08-25 13:27:46, 2015-08-25 15:34:50, 11,  54, OPN ,       ,   , -74,    11262,        0,   0.  0.  0.  0,  13, guest-eduroam, 
00:0B:86:CF:D2:82, 2015-08-25 13:27:46, 2015-08-25 15:34:50, 11,  54, WPA2, CCMP, MGT, -74,    10954,     9611,   0.  0.  0.  0,   7, eduroam, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
B8:EE:65:08:03:05, 2015-08-25 14:09:55, 2015-08-25 15:32:35, -81,     3341, 00:0B:86:C3:05:C2, Vodafone-3CE805,eduroam
00:22:FA:29:46:C0, 2015-08-25 15:25:09, 2015-08-25 15:26:55, -89,        7, 00:0B:86:C3:05:C2,
0C:8B:FD:A0:AF:E1, 2015-08-25 14:49:17, 2015-08-25 15:19:55,  -1,      105, 00:0B:86:C3:05:C2,
BC:F5:AC:FE:68:2F, 2015-08-25 15:19:18, 2015-08-25 15:19:18, -81,        1, (not associated) ,
38:0A:94:A7:D1:0F, 2015-08-25 15:02:02, 2015-08-25 15:04:07, -47,       25, (not associated) ,
24:0A:64:6B:55:F7, 2015-08-25 14:35:09, 2015-08-25 14:47:34, -85,       28, 00:0B:86:C3:05:C2, eduroam
A8:5B:78:1C:E2:A4, 2015-08-25 14:29:11, 2015-08-25 14:29:52, -88,       23, E8:94:F6:29:D5:4C, LABAUT,eduroam
48:60:BC:0C:6A:D9, 2015-08-25 14:28:40, 2015-08-25 14:39:52, -82,      524, 00:0B:86:C3:05:C2, VITA.IPT-WIFI,eduroam
30:3A:64:A9:DF:3F, 2015-08-25 15:02:19, 2015-08-25 15:02:19, -90,        3, (not associated) , eduroam
D0:7E:35:57:E0:FE, 2015-08-25 13:41:22, 2015-08-25 15:23:53, -72,       36, (not associated) , VITA.IPT-WIFI
78:92:9C:82:FE:C2, 2015-08-25 14:12:22, 2015-08-25 15:29:10, -75,      608, 00:0B:86:CE:11:40,
00:09:4C:B9:E6:02, 2015-08-25 13:31:17, 2015-08-25 15:29:10, -75,      229, 00:0B:86:C3:05:C2,
BC:F5:AC:E2:24:DE, 2015-08-25 13:43:40, 2015-08-25 15:29:30, -90,       32, 00:0B:86:CE:11:40, eduroam
54:27:1E:49:8D:65, 2015-08-25 15:31:31, 2015-08-25 15:31:31, -80,        1, 64:66:B3:95:5F:7C,
34:DE:1A:5E:6D:B1, 2015-08-25 13:28:05, 2015-08-25 15:33:59, -59,     2589, 00:0B:86:CF:D2:82, eduroam
9C:B7:0D:25:C3:4A, 2015-08-25 13:28:04, 2015-08-25 15:34:47, -57,     3990, 00:0B:86:CF:D2:82, eduroam
44:74:6C:E1:B2:9A, 2015-08-25 13:28:36, 2015-08-25 15:34:03, -53,     1021, (not associated) , eduroam,MEO-WiFi.x,teste

